timestamp,temperature_c,humidity_percent,pressure_hpa,gas_resistance_ohm
2026-03-29T09:32:48.237643Z,21.41,42.11,1013.71,35429.0
2026-03-29T09:33:49.394623Z,21.32,42.3,1013.68,35866.0
2026-03-29T09:34:50.557595Z,21.36,42.09,1013.64,35940.0
2026-03-29T09:35:51.709390Z,21.25,42.41,1013.65,35946.0
2026-03-29T09:36:52.858881Z,21.29,42.21,1013.7,35970.0
2026-03-29T09:37:54.013315Z,21.49,41.76,1013.75,35764.0
2026-03-29T09:38:55.158283Z,21.63,41.56,1013.79,34760.0
2026-03-29T09:39:56.309573Z,21.52,41.92,1013.78,34632.0
2026-03-29T09:40:57.461556Z,21.41,42.07,1013.76,35156.0
2026-03-29T09:41:58.616282Z,21.41,42.03,1013.68,35388.0
2026-03-29T09:42:59.770469Z,21.51,41.66,1013.71,35276.0
2026-03-29T09:44:00.943729Z,21.67,41.35,1013.71,35208.0
2026-03-29T09:45:02.100932Z,21.82,41.1,1013.7,34878.0
2026-03-29T09:46:03.264002Z,21.82,41.15,1013.69,35050.0
2026-03-29T09:47:04.424695Z,21.82,41.07,1013.68,35232.0
2026-03-29T09:48:05.590867Z,21.8,41.19,1013.62,35635.0
2026-03-29T09:49:06.758767Z,21.74,41.21,1013.57,35864.0
2026-03-29T09:50:07.920858Z,21.88,40.8,1013.55,35645.0
2026-03-29T09:51:09.083424Z,22.07,40.47,1013.48,35281.0
2026-03-29T09:52:10.261697Z,22.13,40.47,1013.45,35243.0
2026-03-29T09:53:11.447106Z,22.1,40.49,1013.38,35546.0
2026-03-29T09:54:12.593067Z,22.12,40.39,1013.43,35506.0
2026-03-29T09:55:13.755263Z,22.22,40.16,1013.46,35384.0
2026-03-29T09:56:14.902308Z,22.2,40.39,1013.45,35496.0
2026-03-29T09:57:16.057331Z,22.23,40.16,1013.49,35432.0
2026-03-29T09:58:17.213708Z,22.37,39.84,1013.53,35059.0
2026-03-29T09:59:18.366100Z,22.56,39.4,1013.54,34906.0
