2026-03-11T16:58:06.441433Z,082725010244,-1310,20.71,50.05,32684,25200,29390
2026-03-11T16:58:07.411457Z,082725010244,-1313,20.7,50.05,32683,25196,29390
2026-03-11T16:58:08.366994Z,082725010244,-1310,20.71,50.05,32684,25200,29390
2026-03-11T16:58:09.376233Z,082725010244,-1310,20.71,50.05,32684,25200,29390
2026-03-11T16:58:10.338059Z,082725010244,-1310,20.71,50.05,32684,25200,29390
2026-03-11T16:58:11.347561Z,082725010244,-1310,20.71,50.09,32684,25200,29410
2026-03-11T16:58:12.309025Z,082725010244,-1308,20.71,50.09,32685,25200,29410
2026-03-11T16:58:13.318800Z,082725010244,-1310,20.7,50.09,32684,25196,29410
2026-03-11T16:58:14.280138Z,082725010244,-1310,20.7,50.09,32684,25196,29410
2026-03-11T16:58:15.289353Z,082725010244,-1310,20.7,50.12,32684,25196,29426
2026-03-11T16:58:16.251573Z,082725010244,-1308,20.7,50.12,32685,25196,29426
2026-03-11T16:58:17.258456Z,082725010244,-1306,20.7,50.12,32686,25196,29426
2026-03-11T16:58:18.267115Z,082725010244,-1306,20.7,50.12,32686,25196,29426
2026-03-11T16:58:19.207890Z,082725010244,-1304,20.7,50.12,32687,25196,29426
2026-03-11T16:58:20.217253Z,082725010244,-1306,20.7,50.16,32686,25196,29446
2026-03-11T16:58:21.179628Z,082725010244,-1304,20.7,50.16,32687,25196,29446
2026-03-11T16:58:22.188000Z,082725010244,-1304,20.7,50.16,32687,25196,29446
2026-03-11T16:58:23.195906Z,082725010244,-1304,20.7,50.16,32687,25196,29446
2026-03-11T16:58:24.136327Z,082725010244,-1306,20.71,50.16,32686,25200,29446
2026-03-11T16:58:25.145677Z,082725010244,-1306,20.71,50.16,32686,25200,29446
2026-03-11T16:58:26.107741Z,082725010244,-1304,20.71,50.16,32687,25200,29446
2026-03-11T16:58:27.117881Z,082725010244,-1301,20.7,50.12,32688,25196,29426
2026-03-11T16:58:28.123911Z,082725010244,-1299,20.7,50.12,32689,25196,29426
2026-03-11T16:58:29.067189Z,082725010244,-1299,20.7,50.12,32689,25196,29426
2026-03-11T16:58:30.076327Z,082725010244,-1299,20.7,50.12,32689,25196,29426
2026-03-11T16:58:31.040687Z,082725010244,-1299,20.7,50.12,32689,25196,29426
2026-03-11T16:58:32.049630Z,082725010244,-1304,20.7,50.12,32687,25196,29426
2026-03-11T16:58:33.012034Z,082725010244,-1301,20.7,50.12,32688,25196,29426
2026-03-11T16:58:34.018509Z,082725010244,-1301,20.69,50.12,32688,25192,29426
2026-03-11T16:58:35.026121Z,082725010244,-1301,20.7,50.12,32688,25196,29426
2026-03-11T16:58:35.968572Z,082725010244,-1304,20.7,50.12,32687,25196,29426
2026-03-11T16:58:36.975376Z,082725010244,-1301,20.69,50.12,32688,25192,29426
2026-03-11T16:58:37.983954Z,082725010244,-1306,20.69,50.16,32686,25192,29446
2026-03-11T16:58:38.924816Z,082725010244,-1304,20.69,50.16,32687,25192,29446
2026-03-11T16:58:39.933301Z,082725010244,-1301,20.69,50.16,32688,25192,29446
2026-03-11T16:58:40.940522Z,082725010244,-1301,20.69,50.16,32688,25192,29446
2026-03-11T16:58:41.883568Z,082725010244,-1299,20.69,50.16,32689,25192,29446
2026-03-11T16:58:42.891099Z,082725010244,-1301,20.69,50.18,32688,25192,29458
2026-03-11T16:58:43.854005Z,082725010244,-1299,20.69,50.18,32689,25192,29458
2026-03-11T16:58:44.859577Z,082725010244,-1301,20.69,50.18,32688,25192,29458
2026-03-11T16:58:45.867276Z,082725010244,-1301,20.69,50.16,32688,25192,29446
2026-03-11T16:58:46.810924Z,082725010244,-1299,20.69,50.16,32689,25192,29446
2026-03-26T07:29:11.397944Z,082725010244,-1525,23.62,44.93,32589,26284,26702
2026-03-26T07:29:12.374545Z,082725010244,-1527,23.63,44.93,32588,26288,26702
2026-03-26T07:29:13.389419Z,082725010244,-1527,23.63,44.93,32588,26288,26702
2026-03-26T07:29:14.348619Z,082725010244,-1525,23.63,44.89,32589,26288,26686
2026-03-26T07:29:15.360424Z,082725010244,-1525,23.63,44.89,32589,26288,26686
2026-03-26T07:29:16.320140Z,082725010244,-1527,23.63,44.89,32588,26288,26686
2026-03-26T07:29:17.328739Z,082725010244,-1522,23.63,44.89,32590,26288,26686
2026-03-26T07:29:18.338412Z,082725010244,-1525,23.63,44.89,32589,26288,26686
