timestamp,sensor_sn,ppb,temperature,humidity,adc_gas,adc_temp,adc_hum
2026-03-26T07:29:11.397944Z,082725010244,-1525.0,23.62,44.93,32589,26284,26702
2026-03-26T07:29:12.374545Z,082725010244,-1527.0,23.63,44.93,32588,26288,26702
2026-03-26T07:29:13.389419Z,082725010244,-1527.0,23.63,44.93,32588,26288,26702
2026-03-26T07:29:14.348619Z,082725010244,-1525.0,23.63,44.89,32589,26288,26686
2026-03-26T07:29:15.360424Z,082725010244,-1525.0,23.63,44.89,32589,26288,26686
2026-03-26T07:29:16.320140Z,082725010244,-1527.0,23.63,44.89,32588,26288,26686
2026-03-26T07:29:17.328739Z,082725010244,-1522.0,23.63,44.89,32590,26288,26686
2026-03-26T07:29:18.338412Z,082725010244,-1525.0,23.63,44.89,32589,26288,26686
